,actual,average,day,forecast_acc,forecast_noaa,forecast_under,month,temp_1,temp_2,year
134,66,65.9,22,66,62,65,5,59,66,2016
135,64,65.2,18,68,61,65,5,71,60,2016
136,59,65.7,21,67,62,65,5,66,63,2016
137,60,64.8,16,65,61,65,5,57,65,2016
138,64,66.8,28,69,64,65,5,64,65,2016
139,64,67.0,29,71,65,65,5,64,64,2016
140,65,64.5,14,66,64,66,5,82,77,2016
141,82,64.3,13,67,63,66,5,77,81,2016
142,71,67.1,30,70,64,66,5,64,64,2016
143,66,66.2,24,71,66,66,5,65,66,2016
144,66,66.4,25,67,65,66,5,66,65,2016
145,63,65.4,19,68,62,67,5,64,71,2016
146,64,66.7,27,67,64,68,5,65,66,2016
147,65,66.1,23,68,63,68,5,66,59,2016
148,79,67.3,31,72,63,68,5,71,64,2016
149,80,67.7,3,71,64,66,6,71,75,2016
150,81,67.9,4,72,63,66,6,80,71,2016
151,92,68.0,5,70,64,66,6,81,80,2016
152,75,67.4,1,69,65,66,6,79,71,2016
153,67,68.8,10,71,67,67,6,65,67,2016
154,86,68.2,6,70,65,67,6,92,81,2016
155,71,67.6,2,71,64,67,6,75,79,2016
156,67,68.5,8,70,67,69,6,85,86,2016
157,66,69.3,13,72,66,69,6,70,65,2016
158,65,68.6,9,73,66,69,6,67,85,2016
159,60,69.5,14,71,66,69,6,66,70,2016
160,67,70.0,17,74,66,69,6,71,67,2016
161,65,70.2,18,75,67,69,6,67,71,2016
162,70,70.4,19,73,69,70,6,65,67,2016
163,85,68.3,7,69,67,70,6,86,92,2016
164,76,70.6,20,71,67,70,6,70,65,2016
165,70,69.1,12,73,65,70,6,65,67,2016
166,73,70.8,21,75,68,71,6,76,70,2016
167,67,69.7,15,73,65,71,6,60,66,2016
168,68,71.3,23,72,68,71,6,75,73,2016
169,65,69.0,11,72,69,71,6,67,65,2016
170,71,69.8,16,72,68,71,6,67,60,2016
171,85,72.2,27,74,70,72,6,78,71,2016
172,78,71.9,26,74,67,72,6,71,69,2016
173,75,71.0,22,71,66,72,6,73,76,2016
174,73,72.8,30,76,71,72,6,74,79,2016
175,71,71.7,25,73,68,73,6,69,68,2016
176,69,71.5,24,73,67,73,6,68,75,2016
177,74,72.6,29,76,68,74,6,79,85,2016
178,79,72.4,28,76,72,74,6,85,78,2016
179,76,73.1,1,75,71,72,7,73,74,2016
180,68,73.8,4,76,71,73,7,71,76,2016
181,76,73.3,2,77,70,73,7,76,73,2016
182,68,74.4,7,77,73,74,7,76,69,2016
183,69,74.0,5,77,72,74,7,68,71,2016
184,73,76.4,18,77,75,75,7,80,72,2016
185,74,74.6,8,79,72,75,7,68,76,2016
186,72,76.1,16,78,76,75,7,76,77,2016
187,76,74.2,6,76,72,75,7,69,68,2016
188,74,75.3,11,79,74,75,7,74,71,2016
189,71,73.5,3,76,69,75,7,76,76,2016
190,85,77.1,25,82,75,76,7,80,75,2016
191,71,76.9,22,77,72,76,7,81,82,2016
192,75,75.6,13,78,74,76,7,77,74,2016
193,79,77.2,26,79,73,76,7,85,80,2016
194,71,74.9,9,79,70,76,7,74,68,2016
195,74,75.1,10,77,71,76,7,71,74,2016
196,75,77.0,23,81,75,76,7,71,81,2016
197,82,76.7,20,78,75,77,7,78,73,2016
198,76,77.3,30,79,75,77,7,88,85,2016
199,77,75.8,14,76,74,77,7,75,77,2016
200,78,76.6,19,78,76,77,7,73,80,2016
201,80,76.3,17,78,76,77,7,72,76,2016
202,77,75.4,12,77,74,77,7,74,74,2016
203,81,76.8,21,81,73,78,7,82,78,2016
204,85,77.3,28,80,76,78,7,83,79,2016
205,76,76.0,15,80,74,78,7,77,75,2016
206,80,77.1,24,78,76,78,7,75,71,2016
207,73,77.4,31,78,76,79,7,76,88,2016
208,88,77.3,29,80,77,79,7,85,83,2016
209,83,77.3,27,78,73,79,7,79,85,2016
210,84,76.6,15,79,76,75,8,83,90,2016
211,70,74.6,30,76,74,75,8,75,79,2016
212,80,76.9,11,81,74,75,8,76,72,2016
213,75,75.0,28,77,71,76,8,79,81,2016
214,79,75.7,23,78,73,77,8,81,84,2016
215,76,77.0,10,78,77,77,8,72,73,2016
216,72,77.2,7,78,74,77,8,72,79,2016
217,75,77.3,3,81,77,77,8,73,77,2016
218,73,77.1,8,78,76,77,8,72,72,2016
219,87,76.9,12,79,72,77,8,80,76,2016
220,90,76.8,13,79,73,78,8,87,80,2016
221,79,77.3,5,81,75,78,8,80,75,2016
222,80,77.3,4,79,73,78,8,75,73,2016
223,81,76.5,16,78,72,78,8,84,83,2016
224,83,76.7,14,78,75,78,8,90,87,2016
225,72,77.1,9,80,77,79,8,73,72,2016
226,73,77.4,2,80,75,79,8,77,73,2016
227,77,77.4,1,78,76,79,8,73,76,2016
228,72,77.2,6,81,76,79,8,79,80,2016
229,67,65.7,30,67,64,65,9,66,68,2016
230,68,66.5,28,68,66,66,9,69,77,2016
231,67,68.0,24,71,65,66,9,64,67,2016
232,76,67.6,25,72,64,67,9,67,64,2016
233,64,68.3,23,69,67,67,9,67,68,2016
234,69,66.8,27,67,66,68,9,77,76,2016
235,66,66.1,29,71,63,68,9,68,69,2016
236,67,69.4,20,73,67,69,9,71,69,2016
237,67,68.7,22,70,65,69,9,68,67,2016
238,77,67.2,26,69,64,69,9,76,67,2016
239,71,71.0,15,76,66,69,9,79,75,2016
240,68,70.3,17,73,66,70,9,75,71,2016
241,75,71.5,13,75,71,70,9,74,70,2016
242,68,69.0,21,70,65,70,9,67,71,2016
243,75,70.7,16,74,70,71,9,71,79,2016
244,74,72.6,9,77,68,71,9,72,67,2016
245,67,73.0,7,78,72,71,9,68,68,2016
246,70,72.1,11,75,69,71,9,77,74,2016
247,71,69.7,19,74,65,71,9,69,68,2016
248,69,70.0,18,73,66,71,9,68,75,2016
249,79,71.2,14,75,67,73,9,75,74,2016
250,72,72.8,8,77,69,73,9,67,68,2016
251,67,73.9,3,75,71,73,9,70,75,2016
252,74,71.8,12,73,67,73,9,70,77,2016
253,68,73.5,5,75,71,73,9,68,67,2016
254,77,72.3,10,77,70,74,9,74,72,2016
255,68,73.7,4,77,72,75,9,67,70,2016
256,68,73.3,6,76,73,75,9,68,68,2016
257,65,55.6,28,56,52,55,10,60,58,2016
258,65,56.5,25,60,53,55,10,61,62,2016
259,68,55.3,29,59,55,55,10,65,60,2016
260,60,55.9,27,60,51,55,10,58,65,2016
261,59,54.8,31,59,51,56,10,117,65,2016
262,58,58.4,19,60,58,57,10,61,60,2016
263,61,56.8,24,61,52,57,10,62,62,2016
264,61,58.8,18,60,54,57,10,60,60,2016
265,58,56.2,26,57,53,57,10,65,61,2016
266,62,58.1,20,59,58,58,10,58,61,2016
267,62,57.4,22,59,56,58,10,59,62,2016
268,62,57.1,23,58,57,59,10,62,59,2016
269,60,59.5,16,60,57,59,10,62,60,2016
270,60,59.1,17,63,57,59,10,60,62,2016
271,59,57.8,21,60,56,59,10,62,58,2016
272,62,59.9,15,62,59,59,10,60,60,2016
273,60,60.2,14,64,56,60,10,60,66,2016
274,60,60.6,13,62,60,60,10,66,62,2016
275,68,62.5,8,65,60,61,10,64,63,2016
276,62,61.4,11,66,58,61,10,60,57,2016
277,60,61.8,10,64,58,61,10,57,68,2016
278,66,61.0,12,63,60,63,10,62,60,2016
279,63,63.3,6,67,62,63,10,66,63,2016
280,57,62.1,9,65,58,63,10,68,64,2016
281,63,65.3,1,70,64,64,10,67,66,2016
282,64,62.9,7,67,62,64,10,63,66,2016
283,63,64.1,4,69,62,65,10,61,65,2016
284,66,63.7,5,66,61,65,10,63,61,2016
285,61,64.5,3,68,63,65,10,65,63,2016
286,65,64.9,2,69,62,66,10,63,67,2016
287,52,47.8,29,48,43,47,11,52,48,2016
288,52,48.6,25,52,45,47,11,52,49,2016
289,53,48.4,26,50,48,47,11,52,52,2016
290,52,48.9,24,53,47,48,11,49,54,2016
291,55,49.8,20,54,47,48,11,57,55,2016
292,52,47.6,30,52,47,49,11,52,52,2016
293,54,49.3,22,54,46,49,11,54,55,2016
294,57,50.0,19,54,50,49,11,55,52,2016
295,50,50.7,16,51,50,49,11,55,57,2016
296,54,49.5,21,51,46,49,11,55,57,2016
297,48,48.2,27,49,48,49,11,53,52,2016
298,52,48.0,28,48,46,49,11,48,53,2016
299,49,49.1,23,52,48,49,11,54,54,2016
300,55,50.3,18,53,50,50,11,52,50,2016
301,52,50.5,17,51,46,50,11,50,55,2016
302,55,51.4,13,56,48,50,11,59,63,2016
303,64,52.2,10,54,52,51,11,65,71,2016
304,55,51.0,15,54,47,51,11,57,55,2016
305,63,52.9,7,56,51,51,11,61,58,2016
306,63,51.9,11,53,50,52,11,64,65,2016
307,65,52.4,9,56,48,52,11,71,63,2016
308,58,53.4,5,58,49,52,11,65,65,2016
309,59,51.7,12,52,50,52,11,63,64,2016
310,71,52.7,8,57,49,52,11,63,61,2016
311,57,51.2,14,53,49,53,11,55,59,2016
312,65,53.9,3,54,53,54,11,57,57,2016
313,65,53.7,4,55,49,54,11,65,57,2016
314,57,54.2,2,58,54,55,11,57,59,2016
315,57,54.5,1,59,51,55,11,59,117,2016
316,61,53.2,6,57,52,55,11,58,65,2016
317,57,45.4,30,46,44,44,12,48,48,2016
318,35,45.3,16,49,44,44,12,39,39,2016
319,40,45.1,23,49,45,44,12,45,49,2016
320,44,45.9,10,48,44,44,12,36,41,2016
321,42,45.1,25,49,42,44,12,41,40,2016
322,36,46.0,9,51,43,44,12,41,40,2016
323,48,45.3,28,49,41,44,12,47,42,2016
324,42,46.4,6,50,44,45,12,40,46,2016
325,48,45.3,29,50,43,45,12,48,47,2016
326,51,45.1,20,49,45,45,12,46,39,2016
327,46,45.1,19,46,42,45,12,39,35,2016
328,39,45.4,14,48,45,45,12,40,43,2016
329,43,45.6,12,50,43,45,12,44,44,2016
330,40,46.6,5,50,43,45,12,46,49,2016
331,42,45.2,26,48,45,46,12,42,41,2016
332,45,45.1,22,47,42,46,12,49,51,2016
333,39,45.2,18,46,44,46,12,35,35,2016
334,40,45.5,13,47,41,46,12,43,44,2016
335,35,45.2,17,47,43,46,12,35,39,2016
336,40,46.3,7,51,44,46,12,42,40,2016
337,41,45.1,24,47,44,46,12,40,45,2016
338,49,45.1,21,50,44,46,12,51,46,2016
339,47,45.2,27,50,41,47,12,42,42,2016
340,46,46.8,4,47,45,47,12,49,50,2016
341,39,45.3,15,49,45,47,12,39,40,2016
342,40,45.5,31,48,42,47,12,57,48,2016
343,49,47.0,3,52,42,47,12,50,46,2016
344,44,45.7,11,46,41,47,12,44,36,2016
345,41,46.1,8,51,45,47,12,40,42,2016
346,46,47.4,1,48,44,49,12,52,52,2016
347,50,47.2,2,51,46,49,12,46,52,2016
